Starbucks,"[[[43.1986903], [-77.5775935]], [[43.1985266], [-77.5775831]], [[43.1985357], [-77.5773129]], [[43.1986994], [-77.5773232]], [[43.1986903], [-77.5775935]]]"
Applebee’s Neighborhood Grill & Bar,"[[[43.20008], [-77.572216]], [[43.1999707], [-77.5722106]], [[43.1999723], [-77.572151]], [[43.1998527], [-77.5721451]], [[43.1998578], [-77.5719494]], [[43.1999203], [-77.5719525]], [[43.1999201], [-77.5719612]], [[43.2001111], [-77.5719707]], [[43.2001062], [-77.5721585]], [[43.2000816], [-77.5721573]], [[43.20008], [-77.572216]]]"
Bank of America,"[[[43.1978983], [-77.5802952]], [[43.1979068], [-77.5799545]], [[43.198127], [-77.5799649]], [[43.1981184], [-77.5803101]], [[43.1980102], [-77.580305]], [[43.1980074], [-77.580415]], [[43.1979277], [-77.5804112]], [[43.1979306], [-77.5802967]], [[43.1978983], [-77.5802952]]]"
Home Depot,"[[[43.1960203], [-77.58812]], [[43.195617], [-77.5879281]], [[43.1956865], [-77.5876535]], [[43.1955009], [-77.5875651]], [[43.1959346], [-77.5858503]], [[43.1966012], [-77.5861676]], [[43.1965567], [-77.5863434]], [[43.1966857], [-77.5864048]], [[43.1966024], [-77.5867339]], [[43.1964523], [-77.5866625]], [[43.1964301], [-77.5867503]], [[43.1964811], [-77.5867745]], [[43.1964095], [-77.5870579]], [[43.1963554], [-77.5870322]], [[43.1962719], [-77.5873629]], [[43.1963129], [-77.5873825]], [[43.1962465], [-77.5876454]], [[43.1961979], [-77.5876223]], [[43.1961552], [-77.5877909]], [[43.1961091], [-77.5877689]], [[43.1960203], [-77.58812]]]"
Wendy's,"[[[43.1971436], [-77.5857684]], [[43.1970301], [-77.5857568]], [[43.1970506], [-77.5853777]], [[43.1971641], [-77.5853893]], [[43.1971436], [-77.5857684]]]"
Popeye's,"[[[43.1976299], [-77.5910126]], [[43.197439], [-77.5909991]], [[43.1974469], [-77.5907877]], [[43.1976378], [-77.5908012]], [[43.1976299], [-77.5910126]]]"
Rochester General Hospital Medical Office Building,"[[[43.1913826], [-77.5875429]], [[43.191629], [-77.5872315]], [[43.1919483], [-77.5877069]], [[43.1916994], [-77.5880215]], [[43.1917601], [-77.588112]], [[43.1917325], [-77.5881468]], [[43.1916324], [-77.5879977]], [[43.1916013], [-77.588037]], [[43.191545], [-77.5879531]], [[43.1915796], [-77.5879094]], [[43.1913693], [-77.5875964]], [[43.1913959], [-77.5875628]], [[43.1913826], [-77.5875429]]]"
Ridge Culver Fire Department,"[[[43.2018749], [-77.5614654]], [[43.2020529], [-77.5614752]], [[43.2020542], [-77.5614311]], [[43.2021966], [-77.561439]], [[43.2022187], [-77.5614973]], [[43.202348], [-77.5615043]], [[43.2023627], [-77.5609919]], [[43.2023071], [-77.5609889]], [[43.2023081], [-77.5609526]], [[43.2022129], [-77.5609474]], [[43.2022117], [-77.5609881]], [[43.2018894], [-77.5609703]], [[43.2018749], [-77.5614654]]]"
City of Rochester Fire Department,"[[[43.1777796], [-77.5986673]], [[43.1777796], [-77.5986107]], [[43.177799], [-77.5986089]], [[43.1777977], [-77.598439]], [[43.1777732], [-77.5984178]], [[43.1775499], [-77.5984125]], [[43.1775486], [-77.5983523]], [[43.1775163], [-77.5983346]], [[43.1773641], [-77.5983187]], [[43.1773563], [-77.5987275]], [[43.1775047], [-77.5987257]], [[43.1775305], [-77.5987027]], [[43.1775822], [-77.5986549]], [[43.1777796], [-77.5986673]]]"
Easter Seals / The Kessler Center,"[[[43.2073183], [-77.6064376]], [[43.2068933], [-77.6064246]], [[43.2068952], [-77.6063103]], [[43.2069219], [-77.6063111]], [[43.2069264], [-77.6060334]], [[43.2068979], [-77.6060326]], [[43.2069], [-77.6059031]], [[43.2072786], [-77.6059143]], [[43.207281], [-77.6057671]], [[43.207405], [-77.6057708]], [[43.2074002], [-77.6060752]], [[43.2073255], [-77.6060728]], [[43.2073238], [-77.6061757]], [[43.2073335], [-77.606176]], [[43.2073315], [-77.6062993]], [[43.2073206], [-77.606299]], [[43.2073183], [-77.6064376]]]"
Summit Federal Credit Union,"[[[43.2065895], [-77.6012465]], [[43.2063671], [-77.6012382]], [[43.2063689], [-77.6011447]], [[43.206283], [-77.6011415]], [[43.2062849], [-77.6010442]], [[43.2065933], [-77.6010557]], [[43.2065895], [-77.6012465]]]"
Seneca United Methodist Church,"[[[43.2052039], [-77.6138149]], [[43.2049937], [-77.6138047]], [[43.2050041], [-77.6134016]], [[43.2051203], [-77.6134073]], [[43.2051161], [-77.613569]], [[43.2052101], [-77.6135735]], [[43.2052039], [-77.6138149]]]"
Bill Gray's,"[[[43.1965434], [-77.5944123]], [[43.1962959], [-77.594395]], [[43.196302], [-77.5942312]], [[43.1965495], [-77.5942485]], [[43.1965434], [-77.5944123]]]"
